"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RASSF10",73.8145613541312,6.88964202967234,1.41659054957063,4.86353804333976,1.15305850940683e-06,6.1445976587762e-05
"RASSF2",2918.75686172711,0.955504120502594,0.241246165265645,3.96070179789366,7.47298090226273e-05,0.00241347219426813
"RASSF5",2110.55215731875,1.02629950116842,0.369583447829593,2.77690872574365,0.00548785875592692,0.0916464257917722
"RAX",73.6306849784954,7.03338887845656,1.4481666647635,4.85675374913092,1.19325838038656e-06,6.21051660777772e-05
"RBM12",1511.6906308963,-1.4464065719401,0.344895538605192,-4.19375262953409,2.74377187848663e-05,0.000968052677262158
"RBM20",1903.46555599604,0.95689507782125,0.329558882968771,2.90356330013391,0.00368942379952236,0.066825840584741
"RBM33",2800.74791640384,0.674163641804489,0.227391426610011,2.96477159167798,0.00302907736024681,0.0576037232687206
"RBM44",2532.22864017347,1.23769576075262,0.38093587822986,3.24909212149816,0.00115773978324059,0.0260754597212463
"RBMS2",2511.17213433726,-1.14165645037104,0.301943724216674,-3.78102394190446,0.000156184651418151,0.00464995840341352
"RBP3",765.510606994624,10.0283083048588,1.18270339412907,8.47914054752798,2.26863495036869e-17,1.88868060794027e-14
"RBPJ",2343.42881094422,1.27355747964479,0.368003075318211,3.46072510003769,0.000538722629623935,0.0136060755827942
"RC3H1",1684.97016815864,-2.90963206058028,0.331773221145468,-8.76994246411629,1.78757605730556e-18,2.11479655874286e-15
"RDH16",2081.18247767182,0.86708949872312,0.306452188517686,2.82944462859686,0.00466288679725761,0.0800705648806391
"REC8",2237.49077467368,-1.93833231057671,0.24562512494484,-7.891425240036,2.98754778662133e-15,1.45987172060161e-12
"RELA",2403.95771583261,1.15099607019374,0.321782288617853,3.57694040631507,0.000347639387933203,0.00929160304632882
"RELT",1900.51729208716,-3.70132953347761,0.437516919340561,-8.45985462472257,2.67711044489224e-17,2.14914602072456e-14
"REPS2",2074.82235274137,1.00604967238729,0.340970165897431,2.95055043815747,0.00317208247741893,0.0596794523253127
"REXO4",2236.98761069761,2.04042631674309,0.526882816320532,3.87263781155806,0.000107663762372489,0.00333802213877075
"RFC3",2466.88198862301,1.8539720458914,0.486833977417392,3.80822237537024,0.000139969374770362,0.00422312967260161
"RFK",2270.760927721,2.15102466684926,0.494144594053827,4.35302681185448,1.34270721640448e-05,0.000503022880172333
"RGS12",1858.02273373623,-2.82652422664282,0.617364197599248,-4.57837405802663,4.68604166468132e-06,0.000188430848906452
"RHBDD2",2260.02564123822,1.43981022973268,0.517848493208852,2.7803696421146,0.00542970544445316,0.0908520800686996
"RHEB",1556.15686297332,-2.61867272531815,0.587923700057484,-4.45410301551393,8.42446469327351e-06,0.000325369617483509
"RHPN2",1395.10974652149,1.23818647634859,0.440424922706206,2.81134516353096,0.00493348296387736,0.0839476381998753
"RICTOR",1748.02310874655,-1.79213516321045,0.431160442476189,-4.15653892763928,3.23105139330409e-05,0.00111563092501827
"RIPK1",2339.27750203295,1.78438254609701,0.493041549364873,3.61913219767303,0.000295592613902916,0.00812301456127575
